"V1","V2","V3","V4","V5","V6"
"Gene_1",411,588,395,425,1515,1585
"Gene_3",268,240,240,292,956,1049
"Gene_5",768,860,698,820,2538,2077
"Gene_7",1853,1841,2077,1912,478,500
"Gene_9",878,634,853,679,253,204
"Gene_11",844,791,1122,724,271,235
"Gene_13",82,69,78,114,32,23
"Gene_15",2815,3156,3120,2535,833,576
"Gene_17",1498,1390,1299,1250,4530,5010
"Gene_19",324,338,384,324,1184,1471
"Gene_21",3255,2788,3806,3122,798,1156
"Gene_23",2401,2454,2249,2536,487,750
"Gene_25",2970,3078,2793,2839,12825,11030
"Gene_27",5508,5483,5403,5236,1346,1214
"Gene_29",2286,2242,2031,2089,730,547
"Gene_31",976,911,1270,1249,350,281
"Gene_33",280,311,275,308,798,863
"Gene_35",54,27,48,82,9,21
"Gene_37",4064,3851,4310,4113,1561,1542
"Gene_39",3319,2811,3098,3076,823,721
"Gene_41",4020,4006,4022,4938,1145,1064
"Gene_43",507,533,609,490,157,120
"Gene_45",479,508,539,493,2223,2194
"Gene_47",1880,1762,1931,1543,6996,6635
"Gene_49",1067,1107,1067,1111,361,358
"Gene_51",1119,1118,1115,1099,3644,3710
"Gene_53",789,535,851,1156,229,231
"Gene_55",3151,3015,2981,3492,778,1004
"Gene_57",1731,1728,1638,1547,7072,6065
"Gene_59",7791,7945,6714,9183,2565,2082
"Gene_61",628,713,736,731,3108,2751
"Gene_63",1057,1030,1185,1099,3694,3570
"Gene_65",3652,3340,3584,3511,1009,921
"Gene_67",4516,5070,4828,5376,1114,1127
"Gene_69",228,187,315,224,789,804
"Gene_71",1289,1187,1204,1241,300,282
"Gene_73",247,213,257,241,810,775
"Gene_75",195,188,158,178,606,601
"Gene_77",1183,1665,1754,1259,405,420
"Gene_79",1867,1475,1541,1539,5688,6191
"Gene_81",1018,939,1085,1040,290,237
"Gene_83",572,540,580,655,2426,2424
"Gene_85",2232,2608,2165,2045,904,956
"Gene_87",492,441,519,400,121,109
"Gene_89",6296,6699,5416,7070,1534,1607
"Gene_91",43,56,33,30,171,214
"Gene_93",1188,1712,1054,1084,5212,3972
"Gene_95",325,208,292,292,914,1151
"Gene_97",4426,5110,4216,4338,1113,1090
"Gene_99",6585,6208,5153,6149,1589,1554
"Gene_101",576,762,3008,2280,2331,2302
"Gene_103",110,116,500,486,573,536
"Gene_105",991,1137,3829,3819,3174,2660
"Gene_107",1302,1549,329,475,372,360
"Gene_109",15,10,36,47,42,29
"Gene_111",357,303,1609,1869,1619,1287
"Gene_113",41,34,82,80,93,103
"Gene_115",3601,3017,1048,929,1039,954
"Gene_117",250,265,891,889,770,829
"Gene_119",2019,1838,6639,6810,7153,6592
"Gene_121",12800,11791,3021,3875,3372,3195
"Gene_123",3523,3042,999,874,1116,1234
"Gene_125",1656,1681,441,451,579,484
"Gene_127",43,56,21,13,10,16
"Gene_129",23,27,53,76,53,68
"Gene_131",3334,3446,873,838,833,763
"Gene_133",1430,1136,500,455,423,341
"Gene_135",40,60,189,203,240,131
"Gene_137",2664,3423,852,1094,804,1132
"Gene_139",10,13,7,5,4,3
"Gene_141",186,125,67,61,39,53
"Gene_143",822,819,228,213,290,253
"Gene_145",920,1103,3114,3867,3447,3233
"Gene_147",1384,1597,477,523,432,538
"Gene_149",256,288,82,77,94,74
"Gene_151",91,124,38,42,44,63
"Gene_153",76,88,349,394,277,343
"Gene_155",425,350,1814,1768,1657,1784
"Gene_157",503,501,1512,1515,1842,1888
"Gene_159",457,436,167,171,127,137
"Gene_161",2132,2762,9158,12349,9597,9076
"Gene_163",9125,9264,2476,2408,2499,2288
"Gene_165",461,430,1239,1349,1606,1690
"Gene_167",233,223,110,61,71,41
"Gene_169",1618,621,414,316,292,483
"Gene_171",244,306,921,1046,1066,1388
"Gene_173",3254,2784,794,816,802,913
"Gene_175",981,936,223,205,213,215
"Gene_177",23,11,37,53,77,75
"Gene_179",2662,3643,842,754,807,855
"Gene_181",1930,1971,6097,7793,7305,7160
"Gene_183",1087,880,267,234,351,295
"Gene_185",1419,1338,324,371,380,310
"Gene_187",456,487,165,136,99,146
"Gene_189",540,729,1538,2019,2102,1647
"Gene_191",98,110,293,304,250,326
"Gene_193",106,97,373,350,420,308
"Gene_195",439,440,1598,1386,1308,1603
"Gene_197",765,673,2683,2249,2213,2430
"Gene_199",2191,2261,8100,7216,7940,7120
"Gene_201",64,85,1303,1136,302,305
"Gene_203",11744,7792,827,1074,2741,5533
"Gene_205",1523,1466,108,108,388,410
"Gene_207",805,1161,311,315,77,79
"Gene_209",2863,2926,899,681,259,247
"Gene_211",3405,2521,916,720,12442,12988
"Gene_213",2741,2674,686,737,171,181
"Gene_215",495,473,1998,1607,119,119
"Gene_217",745,669,140,218,2417,2235
"Gene_219",466,479,2091,2033,106,112
"Gene_221",19676,22679,1153,1120,4001,3651
"Gene_223",4642,5030,21441,22355,1107,1187
"Gene_225",5604,5598,358,384,1509,1208
"Gene_227",2745,2733,9893,9843,815,761
"Gene_229",4987,4337,387,397,1293,1191
"Gene_231",17245,17858,4432,4658,1415,1338
"Gene_233",1610,1611,376,422,7355,6366
"Gene_235",434,349,941,1169,4120,4516
"Gene_237",103,119,432,362,1241,2286
"Gene_239",2798,3037,10150,10408,885,844
"Gene_241",3595,3909,14226,14200,1073,1191
"Gene_243",770,822,201,263,2455,2347
"Gene_245",1456,1358,311,365,6407,6512
"Gene_247",772,948,14802,11793,3203,3057
"Gene_249",2803,2891,10133,11481,800,795
"Gene_251",56,40,189,134,631,791
"Gene_253",4114,4180,932,1017,19140,17125
"Gene_255",1347,1535,443,384,140,145
"Gene_257",187,138,2708,3053,736,677
"Gene_259",8005,9660,2390,2240,580,547
"Gene_261",95,73,1296,1381,364,409
"Gene_263",574,455,6631,8835,1739,2233
"Gene_265",445,448,2055,1884,7709,8267
"Gene_267",2510,2751,672,653,10010,10585
"Gene_269",10,18,127,143,26,47
"Gene_271",7926,8843,2388,2020,667,635
"Gene_273",1554,1419,71,83,395,330
"Gene_275",747,529,202,191,2384,1522
"Gene_277",245,246,53,71,1077,982
"Gene_279",62,72,222,242,1100,660
"Gene_281",869,601,189,266,2537,2719
"Gene_283",258,320,1178,922,4349,3983
"Gene_285",880,1036,2882,2975,312,203
"Gene_287",48,63,209,188,854,845
"Gene_289",547,452,160,169,2597,2353
"Gene_291",1180,944,321,305,93,83
"Gene_293",180,264,852,901,3060,3425
"Gene_295",1135,1180,295,289,5193,4977
"Gene_297",2868,2732,768,677,12142,12360
"Gene_299",377,347,1448,968,3686,4839
"Gene_301",168,135,206,138,138,247
